,0,
0,ATL,https://content.sportslogos.net/logos/6/220/full/9168_atlanta_hawks-primary-2016.png
1,BOS,https://content.sportslogos.net/logos/6/213/full/slhg02hbef3j1ov4lsnwyol5o.png
2,BRK,https://content.sportslogos.net/logos/6/3786/full/137_brooklyn-nets-primary-2013.png
3,CHO,https://content.sportslogos.net/logos/6/5120/full/1926_charlotte__hornets_-primary-2015.png
4,CHI,https://content.sportslogos.net/logos/6/221/full/hj3gmh82w9hffmeh3fjm5h874.png
5,CLE,https://content.sportslogos.net/logos/6/222/full/6921_cleveland_cavaliers-primary-2018.png
6,DAL,https://content.sportslogos.net/logos/6/228/full/3463_dallas_mavericks-primary-2018.png
7,DEN,https://content.sportslogos.net/logos/6/229/full/8926_denver_nuggets-primary-2019.png
8,DET,https://content.sportslogos.net/logos/6/223/full/2164_detroit_pistons-primary-2018.png
9,GSW,https://content.sportslogos.net/logos/6/235/full/qhhir6fj8zp30f33s7sfb4yw0.png
10,HOU,https://content.sportslogos.net/logos/6/230/full/8xe4813lzybfhfl14axgzzqeq.gif
11,IND,https://content.sportslogos.net/logos/6/224/full/4812_indiana_pacers-primary-2018.png
12,LAC,https://content.sportslogos.net/logos/6/236/full/5462_los_angeles_clippers-primary-2016.png
13,LAL,https://content.sportslogos.net/logos/6/237/full/uig7aiht8jnpl1szbi57zzlsh.png
14,MEM,https://content.sportslogos.net/logos/6/231/full/4373_memphis_grizzlies-primary-2019.png
15,MIA,https://content.sportslogos.net/logos/6/214/full/burm5gh2wvjti3xhei5h16k8e.gif
16,MIL,https://content.sportslogos.net/logos/6/225/full/8275_milwaukee_bucks-primary-2016.png
17,MIN,https://content.sportslogos.net/logos/6/232/full/9669_minnesota_timberwolves-primary-2018.png
18,NOP,https://content.sportslogos.net/logos/6/4962/full/2681_new_orleans_pelicans-primary-2014.png
19,NYK,https://content.sportslogos.net/logos/6/216/full/2nn48xofg0hms8k326cqdmuis.gif
20,OKC,https://content.sportslogos.net/logos/6/2687/full/khmovcnezy06c3nm05ccn0oj2.png
21,ORL,https://content.sportslogos.net/logos/6/217/full/wd9ic7qafgfb0yxs7tem7n5g4.gif
22,PHI,https://content.sportslogos.net/logos/6/218/full/7034_philadelphia_76ers-primary-2016.png
23,PHO,https://content.sportslogos.net/logos/6/238/full/4370_phoenix_suns-primary-2014.png
24,POR,https://content.sportslogos.net/logos/6/239/full/9725_portland_trail_blazers-primary-2018.png
25,SAC,https://content.sportslogos.net/logos/6/240/full/4043_sacramento_kings-primary-2017.png
26,SAS,https://content.sportslogos.net/logos/6/233/full/2547_san_antonio_spurs-primary-2018.png
27,TOR,https://content.sportslogos.net/logos/6/227/full/4578_toronto_raptors-primary-2016.png
28,UTA,https://content.sportslogos.net/logos/6/234/full/6749_utah_jazz-primary-2017.png
29,WAS,https://content.sportslogos.net/logos/6/219/full/5671_washington_wizards-primary-2016.png
